old_category_distribution,new_category_distribution
17,11
5,1
61,19
56,19
15,7
56,79
99,1
103,10
16,125
501,9
41,9
24,14
23,4
57,12
196,15
9,18
43,22
526,2
127,5
451,33
12,0
207,0
84,0
77,0
19,0
91,0
26,0
21,0
89,0
15,0
178,0
70,0
393,0
16,0
81,0
16,0
11,0
94,0
48,0
44,0
116,0
158,0
12,0
8,0
21,0
4,0
117,0
250,0
2,0
11,0
14,0
633,0
20,0
118,0
24,0
135,0
2,0
6,0
193,0
36,0
4,0
55,0
1059,0
288,0
111,0
197,0
458,0
2,0
463,0
6,0
131,0
295,0
246,0
13,0
274,0
145,0
339,0
11,0
56,0
82,0
18,0
44,0
390,0
2,0
24,0
5464,0
262,0
61,0
24,0
13,0
198,0
7,0
28,0
291,0
29,0
11773,0
37,0
2,0
39,0
103,0
129,0
12,0
1,0
876,0
3,0
2,0
401,0
48,0
667,0
35,0
106,0
2,0
1766,0
2,0
46,0
1022,0
8,0
121,0
4,0
64,0
604,0
1440,0
21,0
368,0
80,0
107,0
530,0
19,0
134,0
18,0
117,0
26,0
1,0
6,0
9,0
22,0
11,0
2,0
4,0
97,0
212,0
4,0
99,0
38,0
33,0
264,0
73,0
621,0
103,0
16,0
379,0
2,0
247,0
3,0
1348,0
253,0
10,0
5088,0
2,0
79,0
22,0
299,0
10,0
6,0
42,0
4,0
29,0
9,0
2,0
4,0
25,0
4,0
1410,0
5,0
11,0
17,0
64,0
10,0
12,0
207,0
3349,0
8,0
4,0
911,0
19,0
549,0
129,0
26,0
126,0
1298,0
2565,0
149,0
2995,0
12,0
14,0
1813,0
50,0
19,0
72,0
8,0
94,0
1408,0
1493,0
38,0
239,0
250,0
10,0
319,0
7,0
57,0
83,0
922,0
2,0
66,0
44,0
83,0
50,0
28,0
2,0
28,0
10,0
16,0
2,0
106,0
82,0
67,0
633,0
13,0
1,0
3,0
16,0
330,0
8,0
4960,0
7,0
2,0
2,0
18,0
21,0
70,0
217,0
2287,0
4,0
33,0
36,0
16,0
2,0
4655,0
31,0
11,0
2,0
94,0
2035,0
13,0
6,0
8,0
16,0
